旅客记录号,乘客数,到达航班,到达日期,出发航班,出发日期
T1147,1,NV3260,2018/1/19,NV642,2018/1/19
T1148,2,NV3260,2018/1/19,NV624,2018/1/19
T1149,1,NV3260,2018/1/19,NV624,2018/1/19
T1150,2,NV3260,2018/1/19,NV860,2018/1/19
T1151,2,NV6149,2018/1/19,NV848,2018/1/19
T1152,1,NV6149,2018/1/19,NV848,2018/1/19
T1153,2,NV3197,2018/1/19,NV3277,2018/1/19
T1154,2,NV3197,2018/1/19,NV6784,2018/1/19
T1155,2,NV3197,2018/1/19,NV6784,2018/1/19
T1156,2,NV3197,2018/1/19,NV6784,2018/1/19
T1157,2,NV3197,2018/1/19,NV6784,2018/1/19
T1158,1,NV3197,2018/1/19,NV860,2018/1/19
T1159,2,NV3197,2018/1/19,NV688,2018/1/19
T1160,2,NV3702,2018/1/19,NV642,2018/1/19
T1161,1,NV3702,2018/1/19,NV308,2018/1/19
T1162,2,NV3702,2018/1/19,NV688,2018/1/19
T1163,2,NV3702,2018/1/19,NV688,2018/1/19
T1164,1,NV3702,2018/1/19,NV688,2018/1/19
T1165,2,NV304,2018/1/19,NV830,2018/1/19
T1166,2,NV304,2018/1/19,NV308,2018/1/19
T1167,1,NV304,2018/1/19,NV308,2018/1/19
T1168,1,NV304,2018/1/19,NV688,2018/1/19
T1169,1,NV635,2018/1/19,NV624,2018/1/19
T1170,1,NV635,2018/1/19,NV3631,2018/1/19
T1171,2,NV635,2018/1/19,NV848,2018/1/19
T1172,2,NV635,2018/1/19,NV848,2018/1/19
T1173,2,NV635,2018/1/19,NV308,2018/1/19
T1174,2,NV635,2018/1/19,NV308,2018/1/19
T1175,2,NV635,2018/1/19,NV308,2018/1/19
T1176,2,NV635,2018/1/19,NV860,2018/1/19
T1177,2,NV635,2018/1/19,NV672,2018/1/19
T1178,2,NV635,2018/1/19,NV688,2018/1/19
T1179,2,NV635,2018/1/19,NV859,2018/1/19
T1180,2,NV635,2018/1/19,NV859,2018/1/19
T1181,1,NV391,2018/1/19,NV3631,2018/1/19
T1182,2,NV391,2018/1/19,NV6784,2018/1/19
T1183,1,NV391,2018/1/19,NV6784,2018/1/19
T1184,2,NV6781,2018/1/19,NV3787,2018/1/19
T1185,2,NV6781,2018/1/19,NV6486,2018/1/19
T1186,2,NV6781,2018/1/19,NV860,2018/1/19
T1187,2,NV6781,2018/1/19,NV860,2018/1/19
T1188,2,NV6781,2018/1/19,NV860,2018/1/19
T1189,2,NV6781,2018/1/19,NV860,2018/1/19
T1190,2,NV6781,2018/1/19,NV860,2018/1/19
T1191,2,NV6781,2018/1/19,NV860,2018/1/19
T1192,1,NV6781,2018/1/19,NV860,2018/1/19
T1193,2,NV6781,2018/1/19,NV672,2018/1/19
T1194,2,NV6781,2018/1/19,NV658,2018/1/19
T1195,2,NV6119,2018/1/19,NV3787,2018/1/19
T1196,1,NV6119,2018/1/19,NV3787,2018/1/19
T1197,1,NV6119,2018/1/19,NV3631,2018/1/19
T1198,1,NV6119,2018/1/19,NV848,2018/1/19
T1199,1,NV6119,2018/1/19,NV6784,2018/1/19
T1200,2,NV6119,2018/1/19,NV308,2018/1/19
T1201,2,NV6119,2018/1/19,NV308,2018/1/19
T1202,2,NV6119,2018/1/19,NV6720,2018/1/19
T1203,2,NV6119,2018/1/19,NV6720,2018/1/19
T1204,2,NV6119,2018/1/19,NV6720,2018/1/19
T1205,2,NV6119,2018/1/19,NV6720,2018/1/19
T1206,2,NV6119,2018/1/19,NV6720,2018/1/19
T1207,2,NV6119,2018/1/19,NV6720,2018/1/19
T1208,2,NV6119,2018/1/19,NV6720,2018/1/19
T1209,2,NV6119,2018/1/19,NV6720,2018/1/19
T1210,2,NV6119,2018/1/19,NV6720,2018/1/19
T1211,2,NV6119,2018/1/19,NV6720,2018/1/19
T1212,2,NV6119,2018/1/19,NV6720,2018/1/19
T1213,2,NV6119,2018/1/19,NV6720,2018/1/19
T1214,2,NV6119,2018/1/19,NV6720,2018/1/19
T1215,2,NV6119,2018/1/19,NV6720,2018/1/19
T1216,2,NV6119,2018/1/19,NV6720,2018/1/19
T1217,1,NV6119,2018/1/19,NV6720,2018/1/19
T1218,2,NV6119,2018/1/19,NV688,2018/1/19
T1219,1,GN0299,2018/1/19,NV308,2018/1/19
T1220,1,GN0299,2018/1/19,NV688,2018/1/19
T1221,1,NV6145,2018/1/19,NV3787,2018/1/19
T1222,2,NV6145,2018/1/19,NV3631,2018/1/19
T1223,2,NV6145,2018/1/19,NV3631,2018/1/19
T1224,2,NV6145,2018/1/19,NV3631,2018/1/19
T1225,2,NV6145,2018/1/19,NV848,2018/1/19
T1226,2,NV6145,2018/1/19,NV848,2018/1/19
T1227,2,NV6145,2018/1/19,NV848,2018/1/19
T1228,1,NV6145,2018/1/19,NV848,2018/1/19
T1229,2,NV6145,2018/1/19,NV308,2018/1/19
T1230,2,NV6145,2018/1/19,NV308,2018/1/19
T1231,2,NV6145,2018/1/19,NV308,2018/1/19
T1232,2,NV6145,2018/1/19,NV860,2018/1/19
T1233,2,NV6145,2018/1/19,NV860,2018/1/19
T1234,2,NV6145,2018/1/19,NV860,2018/1/19
T1235,2,NV6145,2018/1/19,NV860,2018/1/19
T1236,2,NV6145,2018/1/19,NV860,2018/1/19
T1237,2,NV6145,2018/1/19,NV860,2018/1/19
T1238,1,NV6145,2018/1/19,NV860,2018/1/19
T1239,2,NV6145,2018/1/19,NV672,2018/1/19
T1240,1,NV6145,2018/1/19,NV672,2018/1/19
T1241,1,NV6145,2018/1/19,NV6325,2018/1/19
T1242,2,NV6145,2018/1/19,NV688,2018/1/19
T1243,2,NV6145,2018/1/19,NV688,2018/1/19
T1244,1,NV6145,2018/1/19,NV688,2018/1/19
T1245,2,NV6145,2018/1/19,NV836,2018/1/19
T1246,1,NV6145,2018/1/19,NV836,2018/1/19
T1247,2,NV6145,2018/1/19,NV3655,2018/1/19
T1248,1,NV6145,2018/1/19,NV826,2018/1/19
T1249,2,NV619,2018/1/19,NV308,2018/1/19
T1250,2,NV619,2018/1/19,NV308,2018/1/19
T1251,2,NV619,2018/1/19,NV6720,2018/1/19
T1252,1,NV6301,2018/1/19,NV848,2018/1/19
T1253,1,NV6301,2018/1/19,NV688,2018/1/19
T1254,2,NV897,2018/1/19,NV308,2018/1/19
T1255,1,NV897,2018/1/19,NV688,2018/1/19
T1256,2,NV897,2018/1/19,NV826,2018/1/19
T1257,2,NV3131,2018/1/19,NV3655,2018/1/19
T1258,2,NV3131,2018/1/19,NV3655,2018/1/19
T1259,1,NV6253,2018/1/19,NV860,2018/1/19
T1260,2,NV831,2018/1/19,NV860,2018/1/19
T1261,2,NV831,2018/1/19,NV860,2018/1/19
T1262,1,NV831,2018/1/19,NV860,2018/1/19
T1263,1,NV831,2018/1/19,NV672,2018/1/19
T1264,2,NV831,2018/1/19,NV859,2018/1/19
T1265,2,NV831,2018/1/19,NV6544,2018/1/19
T1266,1,NV831,2018/1/19,NV836,2018/1/19
T1267,1,NV831,2018/1/19,NV6714,2018/1/19
T1268,2,NV831,2018/1/19,NV3655,2018/1/19
T1269,2,NV831,2018/1/19,NV392,2018/1/19
T1270,1,NV831,2018/1/19,NV392,2018/1/19
T1271,2,NV831,2018/1/19,NV6811,2018/1/19
T1272,2,NV615,2018/1/19,NV308,2018/1/19
T1273,2,NV615,2018/1/19,NV308,2018/1/19
T1274,2,NV615,2018/1/19,NV6720,2018/1/19
T1275,1,NV615,2018/1/19,NV6325,2018/1/19
T1276,2,NV615,2018/1/19,NV688,2018/1/19
T1277,1,NV615,2018/1/19,NV6297,2018/1/19
T1278,2,NV615,2018/1/19,NV6714,2018/1/19
T1279,2,NV615,2018/1/19,NV6632,2018/1/19
T1280,2,NV615,2018/1/19,NV6632,2018/1/19
T1281,1,NV6525,2018/1/19,NV308,2018/1/19
T1282,1,NV6525,2018/1/19,NV688,2018/1/19
T1283,2,NV6779,2018/1/19,NV658,2018/1/19
T1284,1,NV6779,2018/1/19,NV658,2018/1/19
T1285,1,NV6779,2018/1/19,NV688,2018/1/19
T1286,2,NV6779,2018/1/19,NV826,2018/1/19
T1287,2,NV6779,2018/1/19,NV826,2018/1/19
T1288,2,NV6779,2018/1/19,NV826,2018/1/19
T1289,2,NV6779,2018/1/19,NV392,2018/1/19
T1290,2,NV6779,2018/1/19,NV392,2018/1/19
T1291,2,NV6779,2018/1/19,NV392,2018/1/19
T1292,2,NV6779,2018/1/19,NV392,2018/1/19
T1293,2,NV6779,2018/1/19,NV392,2018/1/19
T1294,2,NV6779,2018/1/19,NV392,2018/1/19
T1295,2,NV6779,2018/1/19,NV392,2018/1/19
T1296,2,NV6779,2018/1/19,NV392,2018/1/19
T1297,1,NV6779,2018/1/19,NV392,2018/1/19
T1298,1,NV399,2018/1/19,NV658,2018/1/19
T1299,2,NV399,2018/1/19,NV6312,2018/1/19
T1300,1,NV399,2018/1/19,NV6325,2018/1/19
T1301,2,NV399,2018/1/19,NV688,2018/1/19
T1302,2,NV399,2018/1/19,NV688,2018/1/19
T1303,2,NV399,2018/1/19,NV6297,2018/1/19
T1304,1,NV399,2018/1/19,NV6297,2018/1/19
T1305,1,NV399,2018/1/19,NV6472,2018/1/19
T1306,1,NV399,2018/1/19,NV6156,2018/1/19
T1307,1,NV6663,2018/1/19,NV826,2018/1/19
T1308,1,NV859,2018/1/19,NV688,2018/1/19
T1309,2,NV859,2018/1/19,NV6714,2018/1/19
T1310,1,NV859,2018/1/19,NV6578,2018/1/19
T1311,1,NV859,2018/1/19,NV392,2018/1/19
T1312,1,NV859,2018/1/19,NV6772,2018/1/19
T1313,1,NV859,2018/1/19,GN0620,2018/1/19
T1314,2,NV859,2018/1/19,NV6642,2018/1/19
T1315,1,NV859,2018/1/19,NV6811,2018/1/19
T1316,2,NV859,2018/1/19,NV3993,2018/1/19
T1317,2,GN0641,2018/1/19,NV664,2018/1/20
T1318,2,NV3119,2018/1/19,NV6720,2018/1/19
T1319,2,NV3119,2018/1/19,NV6720,2018/1/19
T1320,1,NV3119,2018/1/19,NV6720,2018/1/19
T1321,2,NV3119,2018/1/19,NV6714,2018/1/19
T1322,2,NV3119,2018/1/19,NV6714,2018/1/19
T1323,2,NV3119,2018/1/19,NV6714,2018/1/19
T1324,2,NV3119,2018/1/19,NV6652,2018/1/19
T1325,2,NV6714,2018/1/19,NV6632,2018/1/19
T1326,2,NV6714,2018/1/19,NV6632,2018/1/19
T1327,1,NV6714,2018/1/19,NV6811,2018/1/19
T1328,1,NV319,2018/1/19,NV860,2018/1/19
T1329,2,NV6199,2018/1/19,NV859,2018/1/19
T1330,2,NV6199,2018/1/19,NV6297,2018/1/19
T1331,1,NV6199,2018/1/19,NV6528,2018/1/19
T1332,2,NV6199,2018/1/19,NV699,2018/1/19
T1333,1,NV6199,2018/1/19,NV699,2018/1/19
T1334,1,NV6199,2018/1/19,NV6772,2018/1/19
T1335,2,NV6199,2018/1/19,NV6642,2018/1/19
T1336,1,NV6199,2018/1/19,NV6811,2018/1/19
T1337,1,NV6199,2018/1/19,NV3993,2018/1/19
T1338,1,NV6199,2018/1/19,NV6652,2018/1/19
T1339,1,NV673,2018/1/19,NV688,2018/1/19
T1340,1,NV673,2018/1/19,NV633,2018/1/19
T1341,2,NV673,2018/1/19,NV6472,2018/1/19
T1342,1,NV673,2018/1/19,NV6472,2018/1/19
T1343,2,NV673,2018/1/19,NV6478,2018/1/19
T1344,1,NV673,2018/1/19,NV6478,2018/1/19
T1345,2,NV673,2018/1/19,NV6528,2018/1/19
T1346,1,NV673,2018/1/19,NV699,2018/1/19
T1347,2,NV673,2018/1/19,NV6772,2018/1/19
T1348,1,NV673,2018/1/19,NV6772,2018/1/19
T1349,2,NV673,2018/1/19,NV6632,2018/1/19
T1350,2,NV673,2018/1/19,NV6632,2018/1/19
T1351,2,NV673,2018/1/19,NV6642,2018/1/19
T1352,2,NV673,2018/1/19,NV6811,2018/1/19
T1353,1,NV673,2018/1/19,NV6811,2018/1/19
T1354,1,NV673,2018/1/19,NV3993,2018/1/19
T1355,1,NV673,2018/1/19,NV6652,2018/1/19
T1356,2,NV673,2018/1/19,NV664,2018/1/20
T1357,2,NV673,2018/1/19,NV664,2018/1/20
T1358,2,NV673,2018/1/19,NV664,2018/1/20
T1359,2,NV673,2018/1/19,NV664,2018/1/20
T1360,2,NV673,2018/1/19,NV664,2018/1/20
T1361,2,NV673,2018/1/19,NV320,2018/1/20
T1362,2,NV673,2018/1/19,NV320,2018/1/20
T1363,2,NV673,2018/1/19,NV320,2018/1/20
T1364,1,NV673,2018/1/19,NV320,2018/1/20
T1365,1,NV673,2018/1/19,NV608,2018/1/20
T1366,1,NV699,2018/1/19,NV6811,2018/1/19
T1367,1,NV633,2018/1/19,NV6472,2018/1/19
T1368,1,NV633,2018/1/19,NV6714,2018/1/19
T1369,1,NV633,2018/1/19,NV6528,2018/1/19
T1370,2,NV633,2018/1/19,NV6578,2018/1/19
T1371,1,NV633,2018/1/19,NV699,2018/1/19
T1372,2,NV633,2018/1/19,NV392,2018/1/19
T1373,1,NV633,2018/1/19,NV392,2018/1/19
T1374,2,NV633,2018/1/19,NV6642,2018/1/19
T1375,2,NV633,2018/1/19,NV6642,2018/1/19
T1376,1,NV633,2018/1/19,NV3993,2018/1/19
T1377,1,NV633,2018/1/19,NV6652,2018/1/19
T1378,1,NV633,2018/1/19,NV608,2018/1/20
T1379,2,NV633,2018/1/19,NV840,2018/1/20
T1380,2,NV3622,2018/1/19,NV688,2018/1/19
T1381,1,NV3622,2018/1/19,NV320,2018/1/20
T1382,2,NV3622,2018/1/19,NV608,2018/1/20
T1383,1,NV3622,2018/1/19,NV608,2018/1/20
T1384,1,NV849,2018/1/19,NV6714,2018/1/19
T1385,1,NV849,2018/1/19,NV3655,2018/1/19
T1386,2,NV849,2018/1/19,NV6632,2018/1/19
T1387,2,NV849,2018/1/19,NV6642,2018/1/19
T1388,1,NV849,2018/1/19,NV6642,2018/1/19
T1389,1,NV849,2018/1/19,NV6811,2018/1/19
T1390,1,NV849,2018/1/19,NV664,2018/1/20
T1391,1,NV849,2018/1/19,NV608,2018/1/20
T1392,1,NV6753,2018/1/19,NV6578,2018/1/19
T1393,2,NV6753,2018/1/19,NV654,2018/1/19
T1394,2,NV6753,2018/1/19,NV654,2018/1/19
T1395,2,NV6753,2018/1/19,NV654,2018/1/19
T1396,2,NV6753,2018/1/19,NV654,2018/1/19
T1397,2,NV6753,2018/1/19,NV654,2018/1/19
T1398,1,NV6753,2018/1/19,NV654,2018/1/19
T1399,1,NV6324,2018/1/19,NV6156,2018/1/19
T1400,1,NV6463,2018/1/19,NV846,2018/1/20
T1401,2,NV6527,2018/1/19,NV6134,2018/1/20
T1402,2,NV6527,2018/1/19,NV6134,2018/1/20
T1403,2,NV6527,2018/1/19,NV6134,2018/1/20
T1404,2,NV6527,2018/1/19,NV6134,2018/1/20
T1405,2,NV827,2018/1/19,NV6528,2018/1/19
T1406,2,NV827,2018/1/19,NV6632,2018/1/19
T1407,1,NV827,2018/1/19,NV6642,2018/1/19
T1408,2,NV827,2018/1/19,NV664,2018/1/20
T1409,2,NV827,2018/1/19,NV320,2018/1/20
T1410,1,NV827,2018/1/19,NV320,2018/1/20
T1411,2,GN0205,2018/1/19,NV654,2018/1/19
T1412,1,GN0205,2018/1/19,NV654,2018/1/19
T1413,2,NV3291,2018/1/19,NV880,2018/1/20
T1414,1,NV621,2018/1/19,NV6632,2018/1/19
T1415,1,NV621,2018/1/19,NV6652,2018/1/19
T1416,1,NV621,2018/1/19,NV654,2018/1/19
T1417,2,NV621,2018/1/19,NV664,2018/1/20
T1418,1,NV621,2018/1/19,NV840,2018/1/20
T1419,2,NV6317,2018/1/19,NV3993,2018/1/19
T1420,1,NV6551,2018/1/19,NV6156,2018/1/19
T1421,2,NV6551,2018/1/19,NV846,2018/1/20
T1422,1,NV6551,2018/1/19,NV846,2018/1/20
T1423,1,NV6551,2018/1/19,NV840,2018/1/20
T1424,2,NV6551,2018/1/19,NV880,2018/1/20
T1425,1,NV6551,2018/1/19,NV880,2018/1/20
T1426,1,NV6725,2018/1/19,NV654,2018/1/19
T1427,1,NV6725,2018/1/19,NV664,2018/1/20
T1428,2,NV6725,2018/1/19,NV846,2018/1/20
T1429,1,NV6725,2018/1/19,NV846,2018/1/20
T1430,2,NV6725,2018/1/19,NV608,2018/1/20
T1431,2,NV6725,2018/1/19,NV880,2018/1/20
T1432,2,NV317,2018/1/19,NV608,2018/1/20
T1433,2,NV3278,2018/1/19,NV608,2018/1/20
T1434,1,NV6117,2018/1/19,NV6772,2018/1/19
T1435,2,NV6117,2018/1/19,NV6811,2018/1/19
T1436,2,NV6117,2018/1/19,NV6811,2018/1/19
T1437,2,NV6117,2018/1/19,NV6811,2018/1/19
T1438,1,NV6117,2018/1/19,NV6811,2018/1/19
T1439,1,NV6117,2018/1/19,NV6652,2018/1/19
T1440,2,NV6117,2018/1/19,NV664,2018/1/20
T1441,2,NV6117,2018/1/19,NV664,2018/1/20
T1442,2,NV6117,2018/1/19,NV664,2018/1/20
T1443,1,NV6117,2018/1/19,NV664,2018/1/20
T1444,2,NV6117,2018/1/19,NV320,2018/1/20
T1445,2,NV6117,2018/1/19,NV608,2018/1/20
T1446,2,NV6117,2018/1/19,NV840,2018/1/20
T1447,2,NV6117,2018/1/19,NV840,2018/1/20
T1448,2,NV6117,2018/1/19,NV840,2018/1/20
T1449,1,NV6578,2018/1/19,NV880,2018/1/20
T1450,2,NV6772,2018/1/19,NV664,2018/1/20
T1451,1,NV6772,2018/1/19,NV664,2018/1/20
T1452,2,NV6772,2018/1/19,NV846,2018/1/20
T1453,2,NV6772,2018/1/19,NV846,2018/1/20
T1454,1,NV6772,2018/1/19,NV846,2018/1/20
T1455,2,NV6772,2018/1/19,NV608,2018/1/20
T1456,2,NV6375,2018/1/19,NV654,2018/1/19
T1457,1,NV6375,2018/1/19,NV664,2018/1/20
T1458,1,NV6375,2018/1/19,NV840,2018/1/20
T1459,1,NV6633,2018/1/19,NV846,2018/1/20
T1460,2,NV6633,2018/1/19,NV320,2018/1/20
T1461,2,NV6633,2018/1/19,NV880,2018/1/20
T1462,1,NV6633,2018/1/19,NV880,2018/1/20
T1463,1,NV6633,2018/1/19,NV880,2018/1/20
T1464,2,NV651,2018/1/19,NV3993,2018/1/19
T1465,2,NV651,2018/1/19,NV3993,2018/1/19
T1466,2,NV651,2018/1/19,NV3993,2018/1/19
T1467,2,NV651,2018/1/19,NV6652,2018/1/19
T1468,1,NV651,2018/1/19,NV6652,2018/1/19
T1469,2,NV651,2018/1/19,NV664,2018/1/20
T1470,2,NV651,2018/1/19,NV664,2018/1/20
T1471,2,NV651,2018/1/19,NV846,2018/1/20
T1472,2,NV651,2018/1/19,NV840,2018/1/20
T1473,1,NV6642,2018/1/19,NV3993,2018/1/19
T1474,1,NV6642,2018/1/19,NV664,2018/1/20
T1475,2,NV6642,2018/1/19,NV320,2018/1/20
T1476,1,NV6642,2018/1/19,NV840,2018/1/20
T1477,2,NV6642,2018/1/19,NV880,2018/1/20
T1478,2,NV6642,2018/1/19,NV880,2018/1/20
T1479,1,NV6642,2018/1/19,NV880,2018/1/20
T1480,2,NV6643,2018/1/19,NV840,2018/1/20
T1481,2,NV6643,2018/1/19,NV840,2018/1/20
T1482,1,NV6643,2018/1/19,NV840,2018/1/20
T1483,1,GN0629,2018/1/19,NV846,2018/1/20
T1484,1,NV6699,2018/1/19,NV320,2018/1/20
T1485,2,NV6699,2018/1/19,NV608,2018/1/20
T1486,2,NV6699,2018/1/19,NV608,2018/1/20
T1487,2,NV6699,2018/1/19,NV608,2018/1/20
T1488,1,NV6699,2018/1/19,NV840,2018/1/20
T1489,2,NV6699,2018/1/19,NV880,2018/1/20
T1490,1,NV6699,2018/1/19,NV880,2018/1/20
T1491,2,NV679,2018/1/19,NV664,2018/1/20
T1492,2,NV679,2018/1/19,NV608,2018/1/20
T1493,2,NV6241,2018/1/19,NV6156,2018/1/19
T1494,1,NV6241,2018/1/19,NV654,2018/1/19
T1495,2,NV6241,2018/1/19,NV320,2018/1/20
T1496,1,NV6241,2018/1/19,NV320,2018/1/20
T1497,1,NV6241,2018/1/19,NV608,2018/1/20
T1498,2,NV6241,2018/1/19,NV840,2018/1/20
T1499,1,NV6241,2018/1/19,NV840,2018/1/20
T1500,2,NV6241,2018/1/19,NV880,2018/1/20
T1501,2,NV6241,2018/1/19,NV880,2018/1/20
T1502,2,NV6241,2018/1/19,NV880,2018/1/20
T1503,2,NV6241,2018/1/19,NV880,2018/1/20
T1504,2,NV6241,2018/1/19,NV880,2018/1/20
T1505,2,NV6241,2018/1/19,NV880,2018/1/20
T1506,2,NV6241,2018/1/19,NV880,2018/1/20
T1507,2,NV6241,2018/1/19,NV880,2018/1/20
T1508,2,NV6241,2018/1/19,NV880,2018/1/20
T1509,2,NV6241,2018/1/19,NV880,2018/1/20
T1510,2,NV6241,2018/1/19,NV880,2018/1/20
T1511,2,NV6241,2018/1/19,NV880,2018/1/20
T1512,2,NV6737,2018/1/19,NV654,2018/1/19
T1513,2,NV6737,2018/1/19,NV654,2018/1/19
T1514,1,NV6737,2018/1/19,NV654,2018/1/19
T1515,1,NV6737,2018/1/19,NV664,2018/1/20
T1516,2,NV6737,2018/1/19,NV846,2018/1/20
T1517,1,NV6737,2018/1/19,NV846,2018/1/20
T1518,1,NV6737,2018/1/19,NV6134,2018/1/20
T1519,2,NV6737,2018/1/19,NV608,2018/1/20
T1520,1,NV6737,2018/1/19,NV880,2018/1/20
T1521,1,NV3270,2018/1/19,NV654,2018/1/19
T1522,2,NV3270,2018/1/19,NV320,2018/1/20
T1523,1,NV3270,2018/1/19,NV6134,2018/1/20
T1524,1,NV3270,2018/1/19,NV608,2018/1/20
T1525,1,NV6405,2018/1/19,NV846,2018/1/20
T1526,1,NV6405,2018/1/19,NV320,2018/1/20
T1527,2,NV6405,2018/1/19,NV840,2018/1/20
T1528,2,NV6405,2018/1/19,NV880,2018/1/20
T1529,1,NV6405,2018/1/19,NV880,2018/1/20
T1530,2,NV3553,2018/1/19,NV840,2018/1/20
T1531,2,NV3553,2018/1/19,NV840,2018/1/20
T1532,1,NV3553,2018/1/19,NV840,2018/1/20
T1533,1,NV3553,2018/1/19,NV880,2018/1/20
T1534,1,GN0639,2018/1/19,NV846,2018/1/20
T1535,1,NV0747,2018/1/19,NV608,2018/1/20
T1536,2,NV677,2018/1/20,NV3446,2018/1/20
T1537,2,NV677,2018/1/20,NV3615,2018/1/20
T1538,2,NV677,2018/1/20,NV3615,2018/1/20
T1539,2,NV677,2018/1/20,NV6738,2018/1/20
T1540,2,NV677,2018/1/20,NV6738,2018/1/20
T1541,1,NV677,2018/1/20,NV6738,2018/1/20
T1542,2,NV677,2018/1/20,NV6708,2018/1/20
T1543,2,NV677,2018/1/20,NV6708,2018/1/20
T1544,2,NV677,2018/1/20,NV6154,2018/1/20
T1545,2,NV677,2018/1/20,NV6154,2018/1/20
T1546,2,NV677,2018/1/20,NV6154,2018/1/20
T1547,2,NV677,2018/1/20,NV6154,2018/1/20
T1548,2,NV677,2018/1/20,NV6154,2018/1/20
T1549,2,NV677,2018/1/20,NV6154,2018/1/20
T1550,2,NV677,2018/1/20,NV6154,2018/1/20
T1551,2,NV677,2018/1/20,NV6154,2018/1/20
T1552,2,NV677,2018/1/20,NV6154,2018/1/20
T1553,2,NV677,2018/1/20,NV6154,2018/1/20
T1554,2,NV677,2018/1/20,NV6154,2018/1/20
T1555,2,NV677,2018/1/20,NV6154,2018/1/20
T1556,2,NV677,2018/1/20,NV6154,2018/1/20
T1557,2,NV677,2018/1/20,NV6154,2018/1/20
T1558,2,NV677,2018/1/20,NV6154,2018/1/20
T1559,2,NV677,2018/1/20,NV6154,2018/1/20
T1560,2,NV677,2018/1/20,NV6154,2018/1/20
T1561,2,NV677,2018/1/20,NV6154,2018/1/20
T1562,2,NV677,2018/1/20,NV6154,2018/1/20
T1563,2,NV677,2018/1/20,NV6154,2018/1/20
T1564,2,NV677,2018/1/20,NV6154,2018/1/20
T1565,2,NV677,2018/1/20,NV6154,2018/1/20
T1566,2,NV677,2018/1/20,NV6154,2018/1/20
T1567,2,NV677,2018/1/20,NV6154,2018/1/20
T1568,1,NV677,2018/1/20,NV6154,2018/1/20
T1569,1,NV677,2018/1/20,NV6724,2018/1/20
T1570,1,NV675,2018/1/20,NV3446,2018/1/20
T1571,2,NV675,2018/1/20,NV6708,2018/1/20
T1572,1,NV675,2018/1/20,NV6708,2018/1/20
T1573,2,NV675,2018/1/20,NV336,2018/1/20
T1574,1,NV675,2018/1/20,NV634,2018/1/20
T1575,1,NV847,2018/1/20,NV3446,2018/1/20
T1576,1,NV847,2018/1/20,NV6748,2018/1/20
T1577,1,NV847,2018/1/20,NV3615,2018/1/20
T1578,2,NV847,2018/1/20,NV675,2018/1/20
T1579,1,NV847,2018/1/20,NV675,2018/1/20
T1580,2,NV847,2018/1/20,NV6738,2018/1/20
T1581,1,NV847,2018/1/20,NV6738,2018/1/20
T1582,1,NV847,2018/1/20,NV6708,2018/1/20
T1583,2,NV847,2018/1/20,NV6154,2018/1/20
T1584,2,NV847,2018/1/20,NV6154,2018/1/20
T1585,2,NV847,2018/1/20,NV6154,2018/1/20
T1586,2,NV847,2018/1/20,NV6724,2018/1/20
T1587,2,NV847,2018/1/20,NV6724,2018/1/20
T1588,1,NV847,2018/1/20,GN0678,2018/1/20
T1589,1,NV847,2018/1/20,NV6762,2018/1/20
T1590,2,NV847,2018/1/20,NV336,2018/1/20
T1591,2,NV847,2018/1/20,NV6616,2018/1/20
T1592,2,NV847,2018/1/20,NV6230,2018/1/20
T1593,2,NV847,2018/1/20,NV6230,2018/1/20
T1594,2,NV847,2018/1/20,NV6230,2018/1/20
T1595,2,NV847,2018/1/20,NV6230,2018/1/20
T1596,2,NV847,2018/1/20,NV6230,2018/1/20
T1597,2,NV847,2018/1/20,NV6230,2018/1/20
T1598,2,NV847,2018/1/20,NV6230,2018/1/20
T1599,2,NV847,2018/1/20,NV6514,2018/1/20
T1600,1,NV847,2018/1/20,NV634,2018/1/20
T1601,1,NV847,2018/1/20,NV6376,2018/1/20
T1602,2,NV847,2018/1/20,NV6700,2018/1/20
T1603,2,NV309,2018/1/20,NV3615,2018/1/20
T1604,2,NV309,2018/1/20,NV675,2018/1/20
T1605,1,NV309,2018/1/20,NV6738,2018/1/20
T1606,1,NV309,2018/1/20,NV6708,2018/1/20
T1607,2,NV309,2018/1/20,NV3263,2018/1/20
T1608,2,NV309,2018/1/20,NV3263,2018/1/20
T1609,1,NV309,2018/1/20,NV6734,2018/1/20
T1610,2,NV309,2018/1/20,NV612,2018/1/20
T1611,2,NV309,2018/1/20,NV612,2018/1/20
T1612,1,NV309,2018/1/20,NV612,2018/1/20
T1613,2,NV309,2018/1/20,NV6616,2018/1/20
T1614,2,NV309,2018/1/20,NV6616,2018/1/20
T1615,2,NV309,2018/1/20,NV6616,2018/1/20
T1616,2,NV309,2018/1/20,NV6616,2018/1/20
T1617,2,NV309,2018/1/20,NV6616,2018/1/20
T1618,2,NV309,2018/1/20,NV6616,2018/1/20
T1619,1,NV309,2018/1/20,NV6616,2018/1/20
T1620,2,NV309,2018/1/20,NV6230,2018/1/20
T1621,1,NV309,2018/1/20,NV6230,2018/1/20
T1622,2,NV309,2018/1/20,NV6514,2018/1/20
T1623,1,NV309,2018/1/20,NV6514,2018/1/20
T1624,2,NV309,2018/1/20,NV634,2018/1/20
T1625,2,NV309,2018/1/20,NV634,2018/1/20
T1626,2,NV309,2018/1/20,NV634,2018/1/20
T1627,2,NV309,2018/1/20,NV634,2018/1/20
T1628,2,NV309,2018/1/20,NV634,2018/1/20
